iter	Recall	Logloss
0	0.9600933312	0.5858505708
1	0.9404455984	0.5335424232
2	0.9581392651	0.4851290803
3	0.9532630226	0.4603421071
4	0.94318486	0.4418391338
5	0.9507022146	0.4238564474
6	0.9500151685	0.4137591917
7	0.9486767671	0.4056494855
8	0.950166854	0.3967536361
9	0.9487927619	0.3898427306
10	0.9484938523	0.3854513034
11	0.9513134179	0.3813566011
12	0.9505549905	0.3780561725
13	0.951723861	0.3740151855
14	0.9537983832	0.369718121
15	0.9539099167	0.3672667343
16	0.9526384353	0.364689856
17	0.952013848	0.3628185269
18	0.9522369149	0.3612892187
19	0.9520227707	0.3596397187
20	0.9527544301	0.3583640216
21	0.9518309331	0.3568554226
22	0.9517550904	0.3532420192
23	0.9521476881	0.3513724548
24	0.9540883702	0.3498423978
25	0.9533700948	0.3486684208
26	0.9535083962	0.3465054571
27	0.9528391955	0.345538395
28	0.9522547602	0.3430086496
29	0.9519290826	0.3390377029
30	0.9511706551	0.3337939384
31	0.9507155986	0.3284285916
32	0.9506174492	0.3257669617
33	0.9502917715	0.3220916514
34	0.9497787176	0.3187825231
35	0.9492076664	0.3179484995
36	0.9486366151	0.3172877179
37	0.9488418366	0.3165449153
38	0.9484626229	0.3124850677
39	0.948212788	0.3108155805
40	0.9470885308	0.3095525045
41	0.9468208505	0.3079462387
42	0.9460936524	0.3071560784
43	0.946629013	0.3063242367
44	0.9452281528	0.3034329103
45	0.9445678748	0.3004623487
46	0.944094973	0.3001089895
47	0.9427298035	0.2989063058
48	0.9417616932	0.2978235566
49	0.9410568018	0.2951496572
50	0.940980959	0.2945984421
51	0.9408158895	0.2934008938
52	0.940070846	0.2915946325
53	0.9395042561	0.2895202316
54	0.9390848903	0.2891613349
55	0.9385227617	0.2889228813
56	0.9380320146	0.287985277
57	0.9386967539	0.2877122814
58	0.9380855506	0.2874569802
59	0.9373092778	0.2871792648
60	0.9377107982	0.286665205
61	0.9379070971	0.2860830824
62	0.9373761979	0.2858235476
63	0.9374252726	0.2849550505
64	0.936903296	0.2847657212
65	0.9375992648	0.2834054763
66	0.9370772882	0.2832583236
67	0.9372111284	0.2830400814
68	0.9371754377	0.2829080201
69	0.9364928529	0.2827228637
70	0.9374654246	0.2815959446
71	0.9374208112	0.2814220036
72	0.9369077574	0.2796140431
73	0.9360734872	0.2769720309
74	0.9352347556	0.2746281951
75	0.9340926531	0.2735471197
76	0.9334636044	0.272733754
77	0.9325757981	0.2696540524
78	0.9314292343	0.2669318932
79	0.9304165105	0.2662224298
80	0.9291896426	0.2639225505
81	0.9280832307	0.2626376778
82	0.9270749683	0.2618815459
83	0.9262317754	0.2599139347
84	0.9250718275	0.2589769211
85	0.9246167711	0.257712252
86	0.9233675964	0.2559881851
87	0.9228054678	0.255532397
88	0.9219355069	0.2542719311
89	0.9215072184	0.2538357882
90	0.921132466	0.2528378878
91	0.9205168014	0.2524524827
92	0.9203963453	0.2517356976
93	0.9203026572	0.2509579828
94	0.9199055981	0.2493187963
95	0.9201375877	0.2484748749
96	0.919838678	0.2481833513
97	0.9192810108	0.2471083564
98	0.919535307	0.2462980466
99	0.9186742688	0.2458201867
100	0.9188928744	0.2453826265
