iter	Passed	Remaining
0	106	530646
1	148	370619
2	194	324108
3	235	293921
4	277	277575
5	318	265212
6	360	257221
7	404	252532
8	446	247871
9	485	242017
10	529	240142
11	567	235715
12	604	231792
13	646	230129
14	688	228697
15	727	226563
16	768	225145
17	803	222474
18	843	221218
19	885	220426
20	927	219984
21	971	219763
22	1015	219653
23	1061	220023
24	1100	219062
25	1147	219484
26	1186	218508
27	1230	218458
28	1274	218390
29	1314	217732
30	1356	217475
31	1397	217016
32	1441	217005
33	1475	215576
34	1516	215168
35	1560	215194
36	1596	214162
37	1636	213732
38	1673	212875
39	1714	212574
40	1746	211238
41	1788	211131
42	1825	210404
43	1864	209975
44	1899	209155
45	1936	208508
46	1969	207573
47	2006	207041
48	2048	207013
49	2084	206371
50	2125	206238
51	2168	206312
52	2207	206052
53	2245	205676
54	2283	205331
55	2339	206555
56	2383	206730
57	2424	206562
58	2459	205999
59	2497	205646
60	2536	205358
61	2566	204439
62	2605	204192
63	2637	203445
64	2667	202555
65	2698	201742
66	2734	201338
67	2774	201210
68	2811	200909
69	2849	200704
70	2887	200472
71	2932	200743
72	2982	201330
73	3032	201843
74	3077	202090
75	3120	202144
76	3166	202455
77	3218	203112
78	3267	203541
79	3313	203789
80	3365	204373
81	3415	204823
82	3461	205057
83	3517	205836
84	3579	206953
85	3632	207568
86	3683	208037
87	3731	208273
88	3778	208518
89	3825	208683
90	3873	208930
91	3912	208736
92	3954	208645
93	4000	208773
94	4042	208705
95	4096	209237
96	4147	209651
97	4197	209953
98	4240	209939
99	4286	210055
100	4334	210255
101	4381	210382
102	4428	210530
103	4475	210699
104	4522	210853
105	4560	210537
106	4614	210995
107	4672	211647
108	4723	211946
109	4778	212440
110	4824	212483
111	4874	212726
